model,auc_mean,auc_std,ap_mean,ap_std
XGB,0.8850596507778079,0.02705828189862253,0.8837974126546826,0.0344438294387952
LR,0.8772509824813348,0.027688242130715163,0.8911921715261375,0.02730872264954543
MLP,0.8463838790939061,0.03496060939963119,0.8491129186611666,0.039600190191072394
