model,features,roc_auc,avg_precision,brier,params,train_time_s,artifact
LogisticRegression,Top-7,0.9215686274509804,0.9407498219812952,0.1146176309237459,{'C': 1.0},0.4752888679504394,lr_top7.joblib
LogisticRegression,Top-7,0.9215686274509804,0.9407498219812952,0.1146176309237459,{'C': 1.0},14.476996898651125,lr_top7.joblib
MLP,Top-7,0.9226446676231468,0.936820982006437,0.1181709315479658,"hidden=[64,32],dropout=0.25,adam",,mlp_top7.h5
MLP,Top-7,0.9226446676231468,0.936820982006437,0.11817093154796587,"hidden=[64,32],dropout=0.25,adam",N/A,mlp_top7.h5
