feature,coef,odds_ratio
cp_asymptomatic,1.2240287324606312,3.4008613319343977
oldpeak,0.5655816089236761,1.7604713908939573
chol,-0.42631098985134624,0.6529132611462255
thal_normal,-0.7313126935821453,0.4812768062743315
cp_atypical angina,-0.8290851660771259,0.43644838152578896
exang_False,-1.0655010990062543,0.3445551552551588
sex_Female,-1.1253892321587273,0.32452612676714926
