seed,k,features,model,roc_auc,avg_precision,brier,ece,train_time_s,model_artifact
42,2,cp_asymptomatic;exang_False,MLP,0.8620277379244381,0.8591618964462402,0.2250414593886049,0.2623899062366589,16.03903555870056,
42,3,cp_asymptomatic;exang_False;cp_atypical angina,LR,0.8748804399808705,0.8677532364888985,0.184716406203667,0.1939075358755863,0.0989747047424316,..\artifacts\models_feature_vs_k\lr_k3.joblib
42,3,cp_asymptomatic;exang_False;cp_atypical angina,MLP,0.8595169775227163,0.8607059753236896,0.2171257323879059,0.1467090320328007,12.266267776489258,
42,4,cp_asymptomatic;exang_False;cp_atypical angina;chol,LR,0.8901841224294597,0.9166095282031984,0.1376641586137746,0.1097446239346273,0.1191482543945312,..\artifacts\models_feature_vs_k\lr_k4.joblib
42,4,cp_asymptomatic;exang_False;cp_atypical angina;chol,MLP,0.893651362984218,0.9110830082948728,0.1852454044953789,0.2142389745492002,16.14881420135498,
42,5,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female,LR,0.8958632233381156,0.9178786777903712,0.1288951470806742,0.0745034988541597,0.1431715488433838,..\artifacts\models_feature_vs_k\lr_k5.joblib
42,5,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female,MLP,0.8966403634624581,0.898383568660257,0.1274555018883962,0.092407540053777,23.38947606086731,
42,6,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak,LR,0.9183405069344812,0.9372535497864056,0.12287745846771,0.0963281377580941,0.1547191143035888,..\artifacts\models_feature_vs_k\lr_k6.joblib
42,6,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak,MLP,0.9044715447154472,0.9112391489635115,0.119451927639737,0.0752061775521091,29.92209529876709,
42,7,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal,LR,0.9215686274509804,0.9407498219812952,0.1146176309237459,0.0730733244918549,0.1203131675720214,..\artifacts\models_feature_vs_k\lr_k7.joblib
42,7,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal,MLP,0.9271879483500716,0.9415757527542782,0.1102119789793146,0.0839471823495367,22.58625960350037,..\artifacts\models_feature_vs_k\mlp_k7.h5
42,8,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age,LR,0.9104495456719274,0.9270711723527868,0.1197969761068919,0.0442942516280217,0.1288485527038574,..\artifacts\models_feature_vs_k\lr_k8.joblib
42,8,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age,MLP,0.8892874222859877,0.904814535600572,0.1793742575764798,0.2188602421918641,15.850892066955566,
42,9,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca,LR,0.9027977044476326,0.9147280537193436,0.1227163963388148,0.0488653999837441,0.1130220890045166,..\artifacts\models_feature_vs_k\lr_k9.joblib
42,9,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca,MLP,0.9037541846006696,0.910130255388987,0.128122596561665,0.0870489005971214,18.40600538253784,
42,10,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping,LR,0.9043519846963176,0.9152898776329336,0.1228120661316515,0.0247052601819384,0.1128768920898437,..\artifacts\models_feature_vs_k\lr_k10.joblib
42,10,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping,MLP,0.901841224294596,0.8941232605653167,0.136321418726763,0.1283379479351898,17.43375563621521,
42,11,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch,LR,0.9087757054041128,0.9184547543867648,0.1203389378611725,0.0323918216854358,0.1091518402099609,..\artifacts\models_feature_vs_k\lr_k11.joblib
42,11,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch,MLP,0.9106886657101866,0.921234577842196,0.1407878472056629,0.1480749123122381,17.158594369888306,
42,12,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch;fbs_False,LR,0.909971305595409,0.9204513859940732,0.1192910476041944,0.0281553169099083,0.1418437957763672,..\artifacts\models_feature_vs_k\lr_k12.joblib
42,12,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch;fbs_False,MLP,0.9136776661884266,0.9163441027998952,0.1125983620669342,0.0336542004800361,23.30695676803589,
42,13,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch;fbs_False;restecg_normal,LR,0.9073409851745576,0.9182254066051296,0.120828270912502,0.046995311952078,0.1099224090576171,..\artifacts\models_feature_vs_k\lr_k13.joblib
42,13,cp_asymptomatic;exang_False;cp_atypical angina;chol;sex_Female;oldpeak;thal_normal;age;ca;slope_upsloping;thalch;fbs_False;restecg_normal,MLP,0.9182209469153515,0.9175906408046585,0.11011365311334166,0.059473410572694715,26.898977518081665,..\artifacts\models_feature_vs_k\mlp_k13.h5
